"rep","group","Rh_Mg_ha","beetle_generations_ha","cohort_count_ha","sap_count_ha","sap_count_ha_piab","sap_count_ha_lade","sap_count_ha_pice","sap_count_ha_soau","sap_count_ha_pimu","sap_count_ha_acps","sap_count_ha_saca","sap_count_ha_pisy","sap_count_ha_soar","sap_count_ha_potr","sap_count_ha_fasy","sap_count_ha_bepe","sap_count_ha_frex","sap_count_ha_ulgl","sap_count_ha_acpl","sap_count_ha_tico","sap_count_ha_abal","sap_count_ha_quro","sap_count_ha_poni","sap_count_ha_alvi","sap_count_ha_alin","sap_count_ha_qupe","sap_count_ha_algl","sap_count_ha_coav","sap_count_ha_cabe","sap_count_ha_tipl"
1,"macroclimate",9.56094678935481,1.73663643038155,325.112888709945,10846.8401070815,4992.09672795714,827.400074773795,0.268535626464892,765.131483432965,163.922397513407,250.41795375175,407.864051663315,12.0054283319165,314.862743947806,0.00840991918268726,2703.14769065722,18.067027033901,77.8031959468942,18.9521162693449,1.0832901331948,5.39636341303526,243.203501343729,1.56413604135826,27.2187545501336,10.0557520911445,3.46336674985266,1.09618530441171,1.68293891747611,0.0255599018269531,0.0126377528095856,0.0897840574477964
1,"microclimate",9.32399748924218,1.39259952211352,331.144323970966,11039.972779534,5928.02353660431,844.513746136509,0.433171703117287,764.114264834145,158.754360373305,199.290221881043,474.323226154088,12.7815165910624,325.238886734358,0.00528636258126573,2019.55920912695,22.5492544178744,49.6567852051235,16.0992153856552,0.552154239218237,4.15037423261859,189.802900913819,1.02682213187433,13.9078378942618,10.9146871155817,1.91563011560297,0.952150906596411,1.3036902399742,0.0182344542838031,0.00972089569752492,0.075894884322433
2,"macroclimate",9.50766455424987,1.74817982530866,332.303653979396,10863.9632092315,5066.02451619722,829.023877744726,0.274812177373856,765.388575292729,197.847134691971,249.655929553109,401.717561969609,12.1859486096372,328.211744391483,0.00590572024048152,2635.48397383708,17.4945200806475,71.6975339337337,18.3750516726235,1.30525137511103,5.02834191461459,224.149468321444,1.40562650566918,22.8270497434558,9.7517308967975,3.34472975670263,1.01556940427856,1.63148270605934,0.0149197639726669,0.0137763548638123,0.0881766163492174
2,"microclimate",9.27503464184803,1.41403013286152,317.919524819499,10562.4543507721,5396.63310960961,842.683273342659,0.452901505770701,769.819408880448,188.142040463461,203.875704108321,466.883598764298,13.1778619888617,337.879894373301,0.00739484954139959,2034.45951258136,21.6588618657003,52.9091518732123,15.1134614485412,0.534962490209348,4.37835189481875,183.749232804874,1.06752208276057,14.0637013564213,10.3260885247568,2.20986823443436,0.991898858347561,1.33654775999889,0.0111093407957308,0.0137650666731337,0.0751267029628445
3,"macroclimate",9.52242505418214,1.76289247449425,337.366084619769,10962.2433321393,5205.60832714502,823.540691073387,0.26227711595021,777.954808502916,189.957636665534,257.635492303862,435.310469432181,11.8058197974737,324.780674065475,0.00289260865913632,2544.89064071691,19.5958950084401,75.2723075403287,18.6885382430015,1.33765956545611,5.56377092325521,226.667683342306,1.34993133554414,26.0971202185553,9.8954173696968,3.44766566194749,1.03555975277443,1.45628118851448,0.0121184349964241,0.0147816000478741,0.058872527038636
3,"microclimate",9.29394889134087,1.42662964209582,318.066419836194,10366.0932364279,4950.06147120632,878.090471698243,0.424136853214735,789.797367868856,192.696260991759,208.317515135865,490.659814499694,12.4011751121112,338.067250710371,0.00391756394462367,2194.33233481552,24.6701868399155,52.4041039515552,16.0571561841798,0.612058558889568,3.98735295155662,182.414469737108,1.13877512842039,14.6512500054294,10.9285638522436,1.94226937183364,1.02698889581707,1.30244361896494,0.0221434252511956,0.0111514599110881,0.0726059909351985
4,"macroclimate",9.52516894246651,1.69886010947463,341.310580667005,10800.2583433777,5100.24186282291,825.034143072843,0.248565275882277,776.15640085241,185.809192796548,247.598058303066,384.548483480464,12.8339682286049,334.032251862969,0.0103751606552671,2552.50630775364,15.559397347135,71.8636050958106,16.5064821479892,1.30593459558173,4.75700371623053,231.572418779483,1.44253374437171,22.7036334025561,10.0752604464875,2.95691594852177,0.993444208985532,1.3925493027968,0.02422871118232,0.0125289664742882,0.0727973541044421
4,"microclimate",9.27078054000031,1.35579766282229,320.677868825628,10233.3202606971,5277.46866769699,822.560264611435,0.424716064179553,758.545618646547,182.470047520536,190.459923587183,433.568607721132,12.565178767529,338.654122225233,0.00225157311045168,1938.94268346813,17.9513315481948,43.487478715133,12.8909828601888,0.512309887109812,3.79410004604468,171.790563533326,1.03860600388692,11.6317261849219,10.7135673464018,1.64927766602132,0.978118058891126,1.12557602517285,0.0143266832691036,0.0100635351507135,0.0701507213861679
5,"macroclimate",9.4050333817338,1.69006074783086,330.6940409839,11273.4586672338,5633.32368633459,788.669315592168,0.210989045575584,729.567196276761,159.26967712994,237.031016062522,360.323767221484,12.28183863238,307.674329967569,0.00378106370386699,2678.63770188984,17.8669556577814,65.80251635942,17.7554529349456,1.04040446865955,4.88006262733232,220.371894655766,1.38052678311702,21.9572873051307,9.55112595975646,3.21592915301352,1.08423364349392,1.43315557735953,0.0209882878484943,0.0130269257464797,0.0918076778714749
5,"microclimate",9.17147160687383,1.35079557085698,299.274204429143,10148.6323926211,5346.30664749894,830.922035804515,0.392674587859024,743.536259355192,158.093465035072,190.638075051245,426.863939569749,12.1239628468298,325.135238609565,0.008259189912133,1840.38758372727,21.1681254920068,43.5369137510591,13.7246500412048,0.498890905355305,4.11131837320183,164.747250064847,1.0336950978411,11.0080810940477,10.3295580961737,1.81464141686595,1.07578967711524,1.08100151347165,0.00688768614777146,0.014046013142421,0.0734021224638213
